file_path,line_number,raw_value,context_snippet,why_hardcoded,proposed_token_or_remediation_path
app/charts.css,283,#047857,".legend-small.outdoor { 
  background: rgba(16, 185, 129, 0.1); 
  color: #047857; 
  border-color: rgba(16, 185, 129, 0.3);
}",Color value hardcoded instead of using design token,var(--mm-color-*)
app/charts.css,288,#d97706,".legend-small.stadium { 
  background: rgba(245, 158, 11, 0.1); 
  color: #d97706; 
  border-color: rgba(245, 158, 11, 0.3);
}",Color value hardcoded instead of using design token,var(--mm-color-*)
app/charts.css,293,#7c3aed,".legend-small.gen-alpha { 
  background: rgba(139, 92, 246, 0.1); 
  color: #7c3aed; 
  border-color: rgba(139, 92, 246, 0.3);
}",Color value hardcoded instead of using design token,var(--mm-color-*)
app/charts.css,298,#0891b2,".legend-small.gen-yz { 
  background: rgba(6, 182, 212, 0.1); 
  color: #0891b2; 
  border-color: rgba(6, 182, 212, 0.3);
}",Color value hardcoded instead of using design token,var(--mm-color-*)
app/charts.css,303,#ea580c,".legend-small.gen-x { 
  background: rgba(249, 115, 22, 0.1); 
  color: #ea580c; 
  border-color: rgba(249, 115, 22, 0.3);
}",Color value hardcoded instead of using design token,var(--mm-color-*)
app/charts.css,308,#dc2626,".legend-small.boomer { 
  background: rgba(239, 68, 68, 0.1); 
  color: #dc2626; 
  border-color: rgba(239, 68, 68, 0.3);
}",Color value hardcoded instead of using design token,var(--mm-color-*)
app/charts.css,335,#374151,"  font-size: 0.875rem;
  font-weight: 600;
  color: #374151;
  text-align: right;
  line-height: 1.2;",Color value hardcoded instead of using design token,var(--mm-gray-700)
app/charts.css,500,#ccc,"  .chart-container {
    box-shadow: none;
    border: 1px solid #ccc;
    background: white;
  }",Color value hardcoded instead of using design token,var(--mm-color-*)
app/partner-report/[slug]/page.tsx,150,#666,"          {/* WHAT: Additional debug info styling for error state - WHY: Smaller, muted text for technical slug info (legitimate styling) */}
          {/* eslint-disable-next-line react/forbid-dom-pr",Color value hardcoded instead of using design token,var(--mm-color-*)
app/admin/visualization/page.tsx,989,#6366f1,"    return (
      <div className=""page-container"">
        <ColoredCard accentColor=""#6366f1"" hoverable={false} className=""p-8 text-center"">
          <div className=""loading-spinner-viz""></div>
    ",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/visualization/page.tsx,1016,#3b82f6,"      {/* WHAT: Template Selector Card
          WHY: Allow selecting which template to edit */}
      <ColoredCard accentColor=""#3b82f6"" hoverable={false}>
        <div className={vizStyles.templateS",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/visualization/page.tsx,1337,#f59e0b,"      
      {!selectedTemplateId && (
        <ColoredCard accentColor=""#f59e0b"">
          <div className=""info-box"">
            <h4 className=""info-box-title"">⚠️ No Template Selected</h4>",Color value hardcoded instead of using design token,var(--mm-color-warning-500)
app/admin/visualization/page.tsx,1348,#f59e0b,"          WHY: Allow configuring report header elements at template level */}
      {selectedTemplateId && (
        <ColoredCard accentColor=""#f59e0b"" hoverable={false}>
          <h2 className=""sect",Color value hardcoded instead of using design token,var(--mm-color-warning-500)
app/admin/visualization/page.tsx,1470,#6366f1,"          WHY: Only show when template is selected */}
      {selectedTemplateId && (
        <ColoredCard accentColor=""#6366f1"" hoverable={false}>
          <h2 className=""section-title mb-6"">Data Vi",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/insights/page.tsx,251,#3b82f6,"      {/* WHAT: Filters section with prominent card design */}
      {/* WHY: Make filters highly visible and easy to understand */}
      <ColoredCard accentColor=""#3b82f6"" hoverable={false}>
       ",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/insights/page.tsx,319,#10b981,"      {/* WHY: Quick overview of insights distribution */}
      {metadata && (
        <ColoredCard accentColor=""#10b981"" hoverable={false}>
          <h3 className={styles.summaryTitle}>📈 Insights ",Color value hardcoded instead of using design token,var(--mm-color-success-500)
app/admin/design/page.tsx,60,#3b82f6,"      <AdminHero title=""Design & Styles"" subtitle=""Style editor disabled — rebuilding from scratch."" />
      <div className={styles.section}>
        <ColoredCard accentColor=""#3b82f6"">
          {/*",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/clear-session/page.tsx,46,#6366f1,"    <div className=""login-container"">
      <div className=""max-w-md mx-auto"">
      <ColoredCard accentColor=""#6366f1"" hoverable={false} className=""text-center"">
        <div className=""text-6xl mb-6",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/kyc/page.tsx,129,#6366f1,"
      {loading && (
        <ColoredCard accentColor=""#6366f1"" hoverable={false} className=""text-center"">
          <div className=""text-4xl mb-4"">📊</div>
          <div>Loading KYC variables...</di",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/kyc/page.tsx,139,#10b981,"          {/* WHAT: Filters row (sources, flags, tags) */}
          {/* WHY: Quick narrowing by data origin and usage */}
          <ColoredCard accentColor=""#10b981"" hoverable={false}>
            <",Color value hardcoded instead of using design token,var(--mm-color-success-500)
app/admin/kyc/page.tsx,200,#3b82f6,"            const tags = Array.from(new Set(tagsRaw));
            return (
              <ColoredCard key={v.name} accentColor=""#3b82f6"" hoverable={false}>
                {/* WHAT: KYC variable row ",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/cache/page.tsx,21,#6366f1,"    return (
      <div className=""page-container flex items-center justify-center min-h-screen"">
        <ColoredCard accentColor=""#6366f1"" hoverable={false} className=""text-center"">
          <div c",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/cache/page.tsx,113,#3b82f6,"      <div className=""grid grid-cols-1 md:grid-cols-2 gap-6 mb-8"">
        {/* Server Build Cache */}
        <ColoredCard accentColor=""#3b82f6"" hoverable={false}>
          <div className=""text-4xl m",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/cache/page.tsx,134,#10b981,"
        {/* Server Routes Cache */}
        <ColoredCard accentColor=""#10b981"" hoverable={false}>
          <div className=""text-4xl mb-4"">🔄</div>
          <h3 className=""text-xl font-bold text-gra",Color value hardcoded instead of using design token,var(--mm-color-success-500)
app/admin/cache/page.tsx,152,#8b5cf6,"
        {/* Browser Cache */}
        <ColoredCard accentColor=""#8b5cf6"" hoverable={false}>
          <div className=""text-4xl mb-4"">🌐</div>
          <h3 className=""text-xl font-bold text-gray-900 ",Color value hardcoded instead of using design token,var(--mm-color-secondary-500)
app/admin/cache/page.tsx,259,#6366f1,"
      {/* Manual Instructions */}
      <ColoredCard accentColor=""#6366f1"" hoverable={false}>
        <h3 className=""text-xl font-bold text-gray-900 mb-4"">📚 Manual Cache Clearing</h3>
        <div c",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/content-library/page.tsx,207,#10b981,"      
      {/* Filters */}
      <ColoredCard accentColor=""#10b981"" hoverable={false}>
        <div className=""grid gap-3 grid-1fr-1fr-1fr-1fr"">
          {/* Type Filter */}",Color value hardcoded instead of using design token,var(--mm-color-success-500)
app/admin/content-library/page.tsx,270,#6366f1,"      {/* Assets Grid */}
      {loading && (
        <ColoredCard accentColor=""#6366f1"" hoverable={false} className=""text-center"">
          <div className=""text-4xl mb-4"">📚</div>
          <div>Loa",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/content-library/page.tsx,277,#f59e0b,"      
      {!loading && filteredAssets.length === 0 && (
        <ColoredCard accentColor=""#f59e0b"" hoverable={false} className=""text-center"">
          <div className=""text-4xl mb-4"">🔍</div>
     ",Color value hardcoded instead of using design token,var(--mm-color-warning-500)
app/admin/content-library/page.tsx,286,#3b82f6,"        <div className=""grid gap-3 mt-3"">
          {filteredAssets.map(asset => (
            <ColoredCard key={asset._id?.toString()} accentColor=""#3b82f6"" hoverable={false}>
              <AssetCar",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/charts/page.tsx,47,#6366f1,"    return (
      <div className=""page-container flex items-center justify-center min-h-screen"">
        <ColoredCard accentColor=""#6366f1"" hoverable={false} className=""text-center"">
          <div c",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/clicker-manager/page.tsx,151,#6366f1,"
      {loading && (
        <ColoredCard accentColor=""#6366f1"" hoverable={false} className=""text-center"">
          <div className=""text-4xl mb-4"">↔️</div>
          <div>Loading clicker groups...</d",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/clicker-manager/page.tsx,158,#f59e0b,"
      {!loading && groups.length === 0 && (
        <ColoredCard accentColor=""#f59e0b"" hoverable={false} className=""text-center"">
          <div className=""text-4xl mb-4"">📋</div>
          <h3 class",Color value hardcoded instead of using design token,var(--mm-color-warning-500)
app/admin/clicker-manager/page.tsx,178,#3b82f6,"
            return (
              <ColoredCard key={group.groupOrder} accentColor=""#3b82f6"" hoverable={false}>
                <div className=""flex items-start justify-between gap-4"">
              ",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/unauthorized/page.tsx,45,#ef4444,"  return (
    <div className=""app-container"">
      <ColoredCard accentColor=""#ef4444"" hoverable={false} className=""login-card"">
        {/* Header */}
        <div className=""login-header"">",Color value hardcoded instead of using design token,var(--mm-color-error-500)
app/admin/unauthorized/page.tsx,161,#9ca3af,"function getRoleBadgeColor(role: UserRole): string {
  const colors: Record<UserRole, string> = {
    guest: '#9ca3af',      // Gray
    user: '#3b82f6',       // Blue
    admin: '#10b981',      // Gr",Color value hardcoded instead of using design token,var(--mm-color-*)
app/admin/unauthorized/page.tsx,162,#3b82f6,"  const colors: Record<UserRole, string> = {
    guest: '#9ca3af',      // Gray
    user: '#3b82f6',       // Blue
    admin: '#10b981',      // Green
    superadmin: '#8b5cf6', // Purple",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/unauthorized/page.tsx,163,#10b981,"    guest: '#9ca3af',      // Gray
    user: '#3b82f6',       // Blue
    admin: '#10b981',      // Green
    superadmin: '#8b5cf6', // Purple
  };",Color value hardcoded instead of using design token,var(--mm-color-success-500)
app/admin/unauthorized/page.tsx,164,#8b5cf6,"    user: '#3b82f6',       // Blue
    admin: '#10b981',      // Green
    superadmin: '#8b5cf6', // Purple
  };
  return colors[role] || '#6b7280';",Color value hardcoded instead of using design token,var(--mm-color-secondary-500)
app/admin/unauthorized/page.tsx,166,#6b7280,"    superadmin: '#8b5cf6', // Purple
  };
  return colors[role] || '#6b7280';
}
",Color value hardcoded instead of using design token,var(--mm-gray-500)
app/admin/dashboard/page.tsx,189,#6366f1,"    return (
      <div className=""page-container"">
        <ColoredCard accentColor=""#6366f1"" hoverable={false}>
          <div className=""loading-spinner"">Loading dashboard...</div>
        </Colore",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/dashboard/page.tsx,208,#6366f1,"
      {/* Tab Navigation */}
      <ColoredCard accentColor=""#6366f1"" hoverable={false} className=""mb-8"">
        <div className=""tab-container"">
          {[",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/dashboard/page.tsx,229,#6366f1,"      {/* Dashboard Overview Tab */}
      {activeTab === 'overview' && (
        <ColoredCard accentColor=""#6366f1"" hoverable={false}>
          <h2 className=""mb-8 text-gray-800"">📊 Dashboard Overvi",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/dashboard/page.tsx,236,#8b5cf6,"           *      Single source of truth for all colored card styling */}
          <div className=""metrics-grid"">
            <ColoredCard accentColor=""#8b5cf6"" hoverable={false}>
              <div ",Color value hardcoded instead of using design token,var(--mm-color-secondary-500)
app/admin/dashboard/page.tsx,243,#f5576c,"            </ColoredCard>

            <ColoredCard accentColor=""#f5576c"" hoverable={false}>
              <div className=""metric-value"">
                {aggregatedStats.totalImages.toLocaleString()",Color value hardcoded instead of using design token,var(--mm-color-*)
app/admin/dashboard/page.tsx,250,#3b82f6,"            </ColoredCard>

            <ColoredCard accentColor=""#3b82f6"" hoverable={false}>
              <div className=""metric-value"">
                {aggregatedStats.totalFans.toLocaleString()}",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/dashboard/page.tsx,257,#10b981,"            </ColoredCard>

            <ColoredCard accentColor=""#10b981"" hoverable={false}>
              <div className=""metric-value"">
                {aggregatedStats.totalAttendees.toLocaleStrin",Color value hardcoded instead of using design token,var(--mm-color-success-500)
app/admin/dashboard/page.tsx,295,#6366f1,"      {/* Success Manager Overview Tab */}
      {activeTab === 'success' && (
        <ColoredCard accentColor=""#6366f1"" hoverable={false}>
          <h2 className=""mb-8 text-gray-800"">🎯 Success Man",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/dashboard/page.tsx,302,#10b981,"           *      All three pages now use identical card implementation */}
          <div className=""success-metrics-grid"">
            <ColoredCard accentColor=""#10b981"" hoverable={false}>
         ",Color value hardcoded instead of using design token,var(--mm-color-success-500)
app/admin/dashboard/page.tsx,320,#3b82f6,"            </ColoredCard>

            <ColoredCard accentColor=""#3b82f6"" hoverable={false}>
              <h4 className=""success-metric-title success-metric-title-blue"">👕 Merchandise Distribution</",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/dashboard/page.tsx,342,#8b5cf6,"            </ColoredCard>

            <ColoredCard accentColor=""#8b5cf6"" hoverable={false}>
              <h4 className=""success-metric-title success-metric-title-purple"">🎯 Success Indicators</h4>
",Color value hardcoded instead of using design token,var(--mm-color-secondary-500)
app/admin/dashboard/page.tsx,365,#6366f1,"      {/* Aggregated Statistics Tab */}
      {activeTab === 'stats' && (
        <ColoredCard accentColor=""#6366f1"" hoverable={false}>
          <h2 className=""mb-8 text-gray-800"">📈 Aggregated Stati",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/dashboard/page.tsx,427,#6366f1,"      {/* Multi-Hashtag Filter Tab */}
      {activeTab === 'filter' && (
        <ColoredCard accentColor=""#6366f1"" hoverable={false}>
          <h2 className=""mb-8 text-gray-800"">🔍 Multi-Hashtag Fi",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/styles/styles.module.css,171,#dc2626,"
.deleteButton:hover {
  background: #dc2626;
}
",Color value hardcoded instead of using design token,var(--mm-color-*)
app/admin/styles/[id]/page.tsx,266,#000000,"                      label={field.label}
                      description={field.description}
                      value={style[field.key] || '#000000ff'}
                      onChange={(value) =>",Color value hardcoded instead of using design token,var(--mm-color-*)
app/admin/styles/page.tsx,99,#ef4444,"      <div className={styles.container}>
        <AdminHero title=""Report Styles"" subtitle=""Error loading styles"" />
        <ColoredCard accentColor=""#ef4444"">
          <div className={styles.error}",Color value hardcoded instead of using design token,var(--mm-color-error-500)
app/admin/styles/page.tsx,135,#3b82f6,"
      {stylesList.length === 0 ? (
        <ColoredCard accentColor=""#3b82f6"">
          <div className={styles.empty}>
            <MaterialIcon name=""palette"" variant=""outlined"" className={styles.e",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/styles/page.tsx,149,#3b82f6,"        <div className={styles.grid}>
          {stylesList.map((style) => (
            <ColoredCard key={style._id} accentColor={style.chartTitleColor || '#3b82f6'} hoverable>
              <div cla",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/register/page.tsx,94,#10b981,"  return (
    <div className=""app-container"">
      <ColoredCard accentColor=""#10b981"" hoverable={false} className=""login-card"">
        {/* Logo/Icon Section */}
        <div className=""login-header",Color value hardcoded instead of using design token,var(--mm-color-success-500)
app/admin/quick-add/page.tsx,616,#10b981,"        <>
          {/* Instructions */}
          <ColoredCard accentColor=""#10b981"" hoverable={false} className=""mb-6 border-left-accent"">
            <h3 className=""section-subtitle mb-4"">
       ",Color value hardcoded instead of using design token,var(--mm-color-success-500)
app/admin/quick-add/page.tsx,631,#6366f1,"          
          {/* Partner Selection Form */}
          <ColoredCard accentColor=""#6366f1"" hoverable={false} className=""mb-6"">
            <div className=""form-group mb-4"">
              <label ",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/quick-add/page.tsx,692,#10b981,"          {/* Match Preview */}
          {matchPreview && (
            <ColoredCard accentColor=""#10b981"" hoverable={false} className=""mb-6 border-left-accent"">
              <h3 className=""section-",Color value hardcoded instead of using design token,var(--mm-color-success-500)
app/admin/quick-add/page.tsx,830,#f59e0b,"        <>
          {/* Instructions */}
          <ColoredCard accentColor=""#f59e0b"" hoverable={false} className=""mb-6 border-left-accent"">
            <h3 className=""section-subtitle mb-4"">
       ",Color value hardcoded instead of using design token,var(--mm-color-warning-500)
app/admin/quick-add/page.tsx,845,#6366f1,"          
          {/* Partner Event Form */}
          <ColoredCard accentColor=""#6366f1"" hoverable={false} className=""mb-6"">
            <div className=""form-group mb-4"">
              <label html",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/quick-add/page.tsx,907,#10b981,"          {/* Partner Event Preview */}
          {partnerEventPreview && (
            <ColoredCard accentColor=""#10b981"" hoverable={false} className=""mb-6 border-left-accent"">
              <h3 clas",Color value hardcoded instead of using design token,var(--mm-color-success-500)
app/admin/quick-add/page.tsx,1026,#f59e0b,"      {activeTab === 'suggested' && (
        <>
          <ColoredCard accentColor=""#f59e0b"" hoverable={false} className=""mb-6 border-left-accent"">
            <h3 className=""section-subtitle mb-4"">⚽",Color value hardcoded instead of using design token,var(--mm-color-warning-500)
app/admin/quick-add/page.tsx,1036,#6366f1,"          </ColoredCard>

          <ColoredCard accentColor=""#6366f1"" hoverable={false} className=""mb-6"">
            <div className=""form-group mb-4"">
              <label className=""form-label"">Hom",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/quick-add/page.tsx,1080,#3b82f6,"
          {loadingFixtures && (
            <ColoredCard accentColor=""#3b82f6"" hoverable={false} className=""mb-6"">
              <p className=""m-0 text-sm text-gray-600"">Loading fixtures…</p>
       ",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/quick-add/page.tsx,1086,#10b981,"
          {suggestFixtures.length > 0 && (
            <ColoredCard accentColor=""#10b981"" hoverable={false} className=""mb-6 border-left-accent"">
              <h3 className=""section-subtitle mb-4"">Up",Color value hardcoded instead of using design token,var(--mm-color-success-500)
app/admin/cookie-test/page.tsx,39,#6366f1,"  if (loading) return (
    <div className=""page-container"">
      <ColoredCard accentColor=""#6366f1"" hoverable={false} className=""text-center"">Loading...</ColoredCard>
    </div>
  )",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/cookie-test/page.tsx,45,#6366f1,"  return (
    <div className=""page-container font-mono"">
      <ColoredCard accentColor=""#6366f1"" hoverable={false} className=""mb-8"">
        <h1 className=""text-3xl font-bold mb-4"">🍪 Cookie Test Pa",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/cookie-test/page.tsx,50,#10b981,"      </ColoredCard>
      
      <ColoredCard accentColor=""#10b981"" hoverable={false} className=""mb-4"">
        <h2 className=""text-xl font-bold mb-2"">Auth API Response:</h2>
        <pre className=""",Color value hardcoded instead of using design token,var(--mm-color-success-500)
app/admin/cookie-test/page.tsx,55,#3b82f6,"      </ColoredCard>

      <ColoredCard accentColor=""#3b82f6"" hoverable={false} className=""mb-4"">
        <h2 className=""text-xl font-bold mb-2"">Browser Cookies:</h2>
        <pre className=""bg-gray-",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/cookie-test/page.tsx,60,#8b5cf6,"      </ColoredCard>

      <ColoredCard accentColor=""#8b5cf6"" hoverable={false}>
        <a href=""/admin/login"" className=""btn btn-small btn-primary"">
          ← Back to Login",Color value hardcoded instead of using design token,var(--mm-color-secondary-500)
app/admin/filter/page.tsx,395,#6366f1,"           Why: Groups all filter actions together for better discoverability and consistent UX.
                Apply button visible when hashtags selected; Share/Export appear after applying filter.",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/filter/page.tsx,498,#8b5cf6,"
      {/* Hashtag Selection and Load More */}
      <ColoredCard accentColor=""#8b5cf6"" hoverable={false} className=""p-4"">
        <HashtagMultiSelect
          hashtags={availableHashtags}",Color value hardcoded instead of using design token,var(--mm-color-secondary-500)
app/admin/filter/page.tsx,529,#3b82f6,"      {/* Loading State */}
      {statsLoading && (
        <ColoredCard accentColor=""#3b82f6"" hoverable={false} className=""p-8 text-center"">
          <div className=""curve-spinner m-auto mt-4""></di",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/filter/page.tsx,712,#8b5cf6,"          {/* Projects List Section */}
          {projects.length > 0 && (
            <ColoredCard accentColor=""#8b5cf6"" hoverable={false} className=""mt-12"">
              <h2 className=""flex items-",Color value hardcoded instead of using design token,var(--mm-color-secondary-500)
app/admin/filter/page.tsx,721,#6366f1,"              <div className=""projects-list-grid"">
                {projects.map((projectItem) => (
                  <ColoredCard key={projectItem._id} accentColor=""#6366f1"" hoverable={false}>
      ",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/events/ProjectsPageClient.tsx,452,#6366f1,"    return (
      <div className=""page-container"">
        <ColoredCard accentColor=""#6366f1"" hoverable={false} className=""text-center"">
          <div className=""curve-spinner""></div>
          <p c",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/events/page.tsx,765,#f3f4f6,"                  {/* WHAT: Inline styles for disabled input appearance - WHY: Visual feedback for auto-generated field, cannot use CSS classes for dynamic state */}
                  {/* eslint-disab",Color value hardcoded instead of using design token,var(--mm-color-*)
app/admin/hashtags/page.tsx,58,#6366f1,"    return (
      <div className=""page-container flex items-center justify-center min-h-screen"">
        <ColoredCard accentColor=""#6366f1"" hoverable={false} className=""text-center"">
          <div c",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/categories/page.tsx,51,#3b82f6,"  const [formData, setFormData] = useState({
    name: '',
    color: '#3b82f6',
    order: 0
  });",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/categories/page.tsx,183,#3b82f6,"  // Form helpers
  const resetForm = () => {
    setFormData({ name: '', color: '#3b82f6', order: 0 });
    setEditingCategory(null);
  };",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/categories/page.tsx,447,#3b82f6,"              value={formData.color}
              onChange={(e) => setFormData(prev => ({ ...prev, color: e.target.value }))}
              placeholder=""#3b82f6""
            />
          </div>",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/categories/page.tsx,518,#3b82f6,"              value={formData.color}
              onChange={(e) => setFormData(prev => ({ ...prev, color: e.target.value }))}
              placeholder=""#3b82f6""
            />
          </div>",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/login/page.tsx,63,#6366f1,"  return (
    <div className=""app-container"">
      <ColoredCard accentColor=""#6366f1"" hoverable={false} className=""login-card"">
        {/* Logo/Icon Section */}
        <div className=""login-header",Color value hardcoded instead of using design token,var(--mm-color-primary-600)
app/admin/help/page.tsx,57,#dbeafe,"            padding: '1.5rem',
            marginBottom: '2rem',
            backgroundColor: '#dbeafe',
            border: '2px solid #3b82f6',
            borderRadius: 'var(--mm-radius-lg)',",Color value hardcoded instead of using design token,var(--mm-color-*)
app/admin/help/page.tsx,58,#3b82f6,"            marginBottom: '2rem',
            backgroundColor: '#dbeafe',
            border: '2px solid #3b82f6',
            borderRadius: 'var(--mm-radius-lg)',
          }}>",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/help/page.tsx,66,#1e40af,"              marginTop: 0,
              marginBottom: '0.75rem',
              color: '#1e40af',
              fontSize: '1.25rem',
            }}>",Color value hardcoded instead of using design token,var(--mm-color-*)
app/admin/help/page.tsx,73,#1e3a8a,"            {/* WHAT: Inline styles for help page text formatting - WHY: Temporary styling for help content, no CSS module needed */}
            {/* eslint-disable-next-line react/forbid-dom-props */",Color value hardcoded instead of using design token,var(--mm-color-*)
app/admin/help/page.tsx,77,#1e3a8a,"            </p>
            {/* eslint-disable-next-line react/forbid-dom-props */}
            <p style={{ marginBottom: '0.75rem', color: '#1e3a8a' }}>
              <strong>🔒 Limited Access:</str",Color value hardcoded instead of using design token,var(--mm-color-*)
app/admin/help/page.tsx,84,#ffffff,"            <div style={{
              padding: '1rem',
              backgroundColor: '#ffffff',
              borderRadius: 'var(--mm-radius-md)',
              border: '1px solid #93c5fd',",Color value hardcoded instead of using design token,var(--mm-color-*)
app/admin/help/page.tsx,86,#93c5fd,"              backgroundColor: '#ffffff',
              borderRadius: 'var(--mm-radius-md)',
              border: '1px solid #93c5fd',
            }}>
              {/* WHAT: Inline styles for permis",Color value hardcoded instead of using design token,var(--mm-color-*)
app/admin/help/page.tsx,90,#1e40af,"              {/* WHAT: Inline styles for permission request heading - WHY: Temporary styling for help content, no CSS module needed */}
              {/* eslint-disable-next-line react/forbid-dom-pro",Color value hardcoded instead of using design token,var(--mm-color-*)
app/admin/help/page.tsx,98,#1e3a8a,"                marginBottom: 0,
                paddingLeft: '1.5rem',
                color: '#1e3a8a',
              }}>
                <li>Contact a <strong>Superadmin</strong> in your organizati",Color value hardcoded instead of using design token,var(--mm-color-*)
app/admin/analytics/executive/page.tsx,130,#3b82f6,"            value: trends.fans[i] ?? 0,
          })),
          color: '#3b82f6',
          fill: true,
        },",Color value hardcoded instead of using design token,var(--mm-color-primary-500)
app/admin/analytics/executive/page.tsx,144,#10b981,"            value: trends.revenue[i] ?? 0,
          })),
          color: '#10b981',
          fill: true,
        },",Color value hardcoded instead of using design token,var(--mm-color-success-500)
app/styles/admin-pages.module.css,39,#fef3c7,".warningBox {
  padding: 12px;
  background-color: var(--mm-warning-light, #fef3c7);
  border-radius: var(--mm-radius-lg);
  border: 1px solid var(--mm-warning, #fbbf24);",Color value hardcoded instead of using design token,var(--mm-color-*)
